@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs_nn-1 numeric
@attribute inputs_nn-2 numeric
@attribute inputs_nn-3 numeric
@attribute inputs_nn-4 numeric
@attribute inputs_nn-5 numeric
@attribute inputs_nn-6 numeric
@attribute inputs_nn-7 numeric
@attribute inputs_nn-8 numeric
@attribute inputs_nn-9 numeric
@attribute inputs_nn-10 numeric
@attribute inputs_nn-11 numeric
@attribute inputs_nn-12 numeric
@attribute inputs_nn-13 numeric
@attribute inputs_nn-14 numeric
@attribute inputs_nn-15 numeric
@attribute inputs_nn-16 numeric
@attribute outputs_nn-1 numeric
@attribute outputs_nn-2 numeric
@attribute outputs_nn-3 numeric
@attribute outputs_nn-4 numeric
@attribute outputs_nn-5 numeric
@attribute outputs_nn-6 numeric
@attribute outputs_nn-7 numeric
@attribute outputs_nn-8 numeric
@attribute outputs_nn-9 numeric
@attribute outputs_nn-10 numeric

@data
26320,'2018/10/03 20:13:47:520',28,0.47897,0.447438,0.410398,0.373029,0.339802,0.313653,0.295581,0.28476,0.279077,0.27593,0.273038,0.269053,0.000002,0.001071,0.001513,0,1,0,0,0,0,0,0,0,0,0
26321,'2018/10/03 20:13:47:566',28,0.496587,0.474063,0.446548,0.417028,0.388171,0.361899,0.339182,0.320099,0.304114,0.290462,0.278521,0.268052,0.000003,0.000788,0.001516,0,1,0,0,0,0,0,0,0,0,0
26322,'2018/10/03 20:13:47:625',28,0.49332,0.463327,0.425858,0.38468,0.3437,0.306492,0.275893,0.253731,0.240705,0.236413,0.239509,0.247953,0.000002,0.000585,0.001513,0,1,0,0,0,0,0,0,0,0,0
26323,'2018/10/03 20:13:47:671',28,0.454844,0.43182,0.404559,0.376509,0.350467,0.328116,0.309947,0.295547,0.284106,0.274919,0.267713,0.262671,0.000001,0.000869,0.00151,0,1,0,0,0,0,0,0,0,0,0
26324,'2018/10/03 20:13:47:717',28,0.473432,0.440892,0.403398,0.36657,0.334978,0.311321,0.296198,0.28846,0.285954,0.28635,0.287769,0.289059,0.000002,0.000715,0.0015,0,1,0,0,0,0,0,0,0,0,0
26325,'2018/10/03 20:13:47:775',28,0.449362,0.427206,0.401168,0.374698,0.350578,0.330411,0.314506,0.302154,0.292164,0.283462,0.275537,0.2686,0.000002,0.00057,0.001466,0,1,0,0,0,0,0,0,0,0,0
26326,'2018/10/03 20:13:47:822',28,0.44139,0.424803,0.405252,0.384749,0.364506,0.345028,0.326596,0.309789,0.295671,0.285501,0.28012,0.279379,0.000003,0.000991,0.001471,0,1,0,0,0,0,0,0,0,0,0
26327,'2018/10/03 20:13:47:868',28,0.493075,0.476735,0.455399,0.430452,0.403458,0.376037,0.349732,0.325888,0.305554,0.289419,0.277773,0.27052,0.000007,0.000876,0.001482,0,1,0,0,0,0,0,0,0,0,0
26328,'2018/10/03 20:13:47:926',28,0.45027,0.422853,0.390888,0.358918,0.330728,0.308673,0.293459,0.284355,0.279739,0.277723,0.276679,0.275513,0.000002,0.000508,0.00148,0,1,0,0,0,0,0,0,0,0,0
26329,'2018/10/03 20:13:47:973',28,0.415939,0.394297,0.367825,0.339603,0.31267,0.289578,0.272049,0.260788,0.255485,0.254994,0.257629,0.26154,0,0.000295,0.00146,0,1,0,0,0,0,0,0,0,0,0
26330,'2018/10/03 20:13:48:019',28,0.479299,0.456591,0.429316,0.400686,0.373403,0.349201,0.328715,0.311673,0.297313,0.284869,0.273936,0.264623,0.000001,0.001097,0.001446,0,1,0,0,0,0,0,0,0,0,0
